ItemTekstMan,Item,Focus,QuestAns,ItemTekst,Version,CorrAns,questions,ChangeWord2ndpres,Cleft,ChangeWord1thpres,type,Ynans,ID,n,ChangeResponse_raw,QuestResponse.rt_mean,QuestResponse.rt_raw,QuestResponse.rt_std,YNResp.corr_mean,YNResp.corr_raw,YNResp.corr_std,YNResp.keys_raw,YNResp.rt_mean,YNResp.rt_raw,YNResp.rt_std,changeResponse.corr_mean,changeResponse.corr_raw,changeResponse.corr_std,changeResponse.rt_mean,changeResponse.rt_raw,changeResponse.rt_std,quest_response_raw,order,Education,Participant,gender,frameRate,Age,List,date,reading language,expName,handedness,Native language
Det har vi da også snakket om senere at sådan skal det i hvert fald ikke være hos mig vel                 ,f23,n/a,n/a,Det har vi da også snakket om senere at sådan skal det i hvert fald ikke være hos mig vel                 ,f,,0,,n/a,ingen,filler,0,f23,1,'',0.014726531,0.014726531,0,1,1,0,'0',3.986516953,3.986516953,0,0,0,0,0.0386925,0.0386925,0,'',48,Historie,1,mand,60.02417872,22,1,2018_nov_07_1033,Dansk,working program med print of rt og print med builderevent og forståelse 7.4,venstre,Dansk
Jeg spurgte også min tandlæge om vi ikke skulle få det navn             ,f1,n/a,n/a,Jeg spurgte også min mand om vi ikke skulle få det navn             ,f,mand,0,tandlæge,n/a,mand,filler,1,f1,1,'mand',0.019970199,0.019970199,0,1,1,0,'1',1.093538761,1.093538761,0,1,1,0,1.514933705,1.514933705,0,'',40,Historie,1,mand,60.02417872,22,1,2018_nov_07_1033,Dansk,working program med print of rt og print med builderevent og forståelse 7.4,venstre,Dansk
Flemming han kunne godt tale sådan lidt som nogle af alle de der bønder ude fra København eller hvor de nu kommer fra                ,f3,n/a,taler,Flemming han kunne godt tale sådan lidt som nogle af alle de der bønder ude fra Mogenstrup eller hvor de nu kommer fra                ,f,Mogenstrup,Hvad gør Flemming?, København,n/a,Mogenstrup,filler,1,f3,1,'flemstrup',10.672328,10.672328,0,1,1,0,'1',5.021425724,5.021425724,0,0,0,0,6.313214302,6.313214302,0,u'taler som b\xf8nder',29,Historie,1,mand,60.02417872,22,1,2018_nov_07_1033,Dansk,working program med print of rt og print med builderevent og forståelse 7.4,venstre,Dansk
Kattene kunne få lov at vælge hvilken klasse de godt kunne synes at komme i          ,f4,n/a,klasse,Ungerne kunne få lov at vælge hvilken klasse de godt kunne synes at komme i          ,f,Ungerne,Hvad kan vælges?, kattene,n/a,Ungerne,filler,1,f4,1,'ungerne',12.52148342,12.52148342,0,1,1,0,'1',0.857298434,0.857298434,0,0,0,0,1.431745768,1.431745768,0,'klassen de godt kunne synes at komme i',45,Historie,1,mand,60.02417872,22,1,2018_nov_07_1033,Dansk,working program med print of rt og print med builderevent og forståelse 7.4,venstre,Dansk
Nede på Niels Steensens fodboldbane der taler de om hvad er det lige protestantismen er i forhold til katolicismen    ,f8,n/a,n/a,Nede på Niels Steensens gymnasium der taler de om hvad er det lige protestantismen er i forhold til katolicismen    ,f,gymnasium,0, fodboldbane,n/a,gymnasium,filler,1,f8,1,'gymnasium',0.014655012,0.014655012,0,1,1,0,'1',2.935254097,2.935254097,0,1,1,0,4.58049345,4.58049345,0,'',24,Historie,1,mand,60.02417872,22,1,2018_nov_07_1033,Dansk,working program med print of rt og print med builderevent og forståelse 7.4,venstre,Dansk
Man sidder dog tilbage med det indtryk hvad mente han egentlig med det der                 ,f10,n/a,n/a,Man sidder immervæk tilbage med det indtryk hvad mente han egentlig med det der                 ,f,immervæk,0, dog,n/a,immervæk,filler,1,f10,1,u'immerv\xe6k',0.026193006,0.026193006,0,1,1,0,'1',4.536222458,4.536222458,0,1,1,0,3.081106663,3.081106663,0,'',12,Historie,1,mand,60.02417872,22,1,2018_nov_07_1033,Dansk,working program med print of rt og print med builderevent og forståelse 7.4,venstre,Dansk
Til fødslen skal man sådan lige ind at smage på hvad er det lige man præcis siger                  ,f12,n/a,n/a,Til jobsamtalen skal man sådan lige ind at smage på hvad er det lige man præcis siger                  ,f,jobsamtalen,0,,n/a,fødslen,filler,1,f12,1,'jobsamtalen',0.026573373,0.026573373,0,1,1,0,'1',1.518302441,1.518302441,0,1,1,0,2.714546919,2.714546919,0,'',30,Historie,1,mand,60.02417872,22,1,2018_nov_07_1033,Dansk,working program med print of rt og print med builderevent og forståelse 7.4,venstre,Dansk
Euforien smitter da selvfølgelig igennem også på at vi ikke kan få læger og tandlæger og sådan nogle ting heroppe     ,f13,n/a,n/a,Arbejdsløsheden smitter da selvfølgelig igennem også på at vi ikke kan få læger og tandlæger og sådan nogle ting heroppe     ,f,Arbejdsløsheden,0,euforien,n/a,Arbejdsløsheden,filler,1,f13,1,u'arbejdsl\xf8sheden',0.017654005,0.017654005,0,1,1,0,'1',1.565297604,1.565297604,0,0,0,0,3.980736971,3.980736971,0,'',42,Historie,1,mand,60.02417872,22,1,2018_nov_07_1033,Dansk,working program med print of rt og print med builderevent og forståelse 7.4,venstre,Dansk
Det havde jeg virkelig problemer med sidste sommerferie at jeg kun fik en månedsløn af mor og far,f15,n/a,n/a,Det havde jeg virkelig problemer med sidste jul at jeg kun fik en månedsløn af mor og far      ,f,jul,0,sommerferie,n/a,jul,filler,1,f15,1,'jul',0.029513355,0.029513355,0,1,1,0,'1',3.437753916,3.437753916,0,1,1,0,2.747888327,2.747888327,0,'',9,Historie,1,mand,60.02417872,22,1,2018_nov_07_1033,Dansk,working program med print of rt og print med builderevent og forståelse 7.4,venstre,Dansk
Der er altid popsangere der går og holder øje med at der ikke er nogen der snyder sig ind          ,f16,n/a,n/a,Der er altid idioter der går og holder øje med at der ikke er nogen der snyder sig ind          ,f,idioter,0,popsangere,n/a,idioter,filler,1,f16,1,'idioter',0.020607779,0.020607779,0,1,1,0,'1',1.618569732,1.618569732,0,1,1,0,1.764937401,1.764937401,0,'',37,Historie,1,mand,60.02417872,22,1,2018_nov_07_1033,Dansk,working program med print of rt og print med builderevent og forståelse 7.4,venstre,Dansk
